Performing system checks...

System check identified no issues (0 silenced).
March 11, 2022 - 17:10:48
[11/Mar/2022 21:50:40] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[11/Mar/2022 21:50:40] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[11/Mar/2022 21:50:40] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[11/Mar/2022 21:50:40] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[11/Mar/2022 21:50:40] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[11/Mar/2022 21:50:40] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[11/Mar/2022 21:50:40] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 21:50:40] "GET /static/admin/css/widgets.css HTTP/1.1" 200 10385
[11/Mar/2022 21:51:15] "POST /admin/auth/user/add/ HTTP/1.1" 302 0
[11/Mar/2022 21:51:15] "GET /admin/auth/user/2/change/ HTTP/1.1" 200 17134
[11/Mar/2022 21:51:15] "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 5753
[11/Mar/2022 21:51:15] "GET /static/admin/js/calendar.js HTTP/1.1" 200 7777
[11/Mar/2022 21:51:15] "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 12712
[11/Mar/2022 21:51:15] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 21:51:15] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 20269
[11/Mar/2022 21:51:15] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[11/Mar/2022 21:51:15] "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
[11/Mar/2022 21:51:15] "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
[11/Mar/2022 21:51:15] "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[11/Mar/2022 21:51:15] "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
[11/Mar/2022 21:51:15] "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
[11/Mar/2022 21:51:15] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[11/Mar/2022 21:51:42] "POST /admin/auth/user/2/change/ HTTP/1.1" 302 0
[11/Mar/2022 21:51:42] "GET /admin/auth/user/ HTTP/1.1" 200 7034
[11/Mar/2022 21:51:43] "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[11/Mar/2022 21:51:43] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 21:51:43] "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
[11/Mar/2022 21:51:43] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[11/Mar/2022 21:51:43] "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
[11/Mar/2022 21:52:03] "GET / HTTP/1.1" 302 0
[11/Mar/2022 21:52:03] "GET /web/ HTTP/1.1" 200 7452
[11/Mar/2022 21:52:03] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 200 19508
[11/Mar/2022 21:52:03] "GET /static/images/sopds_logo.gif HTTP/1.1" 200 1672
[11/Mar/2022 21:52:03] "GET /static/css/sopds.css HTTP/1.1" 200 73303
[11/Mar/2022 21:52:03] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 200 109037
[11/Mar/2022 21:52:03] "GET /static/js/vendor/jquery.js HTTP/1.1" 200 258648
[11/Mar/2022 21:52:03] "GET /static/foundation-icons/foundation-icons.woff HTTP/1.1" 200 32020
[11/Mar/2022 21:52:03] "GET /static/images/favicon.ico HTTP/1.1" 200 932
[11/Mar/2022 21:52:08] "GET /web/login/ HTTP/1.1" 200 7374
[11/Mar/2022 21:52:30] "POST /web/login/ HTTP/1.1" 302 0
[11/Mar/2022 21:52:30] "GET /web/ HTTP/1.1" 200 9465
[11/Mar/2022 21:52:30] "GET /opds/thumb/453061/ HTTP/1.1" 200 3174
[11/Mar/2022 21:53:17] "GET /admin/auth/user/2/change/ HTTP/1.1" 200 17023
[11/Mar/2022 21:53:18] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 21:53:35] "POST /admin/auth/user/2/change/ HTTP/1.1" 302 0
[11/Mar/2022 21:53:35] "GET /admin/auth/user/2/change/ HTTP/1.1" 200 17228
[11/Mar/2022 21:53:35] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 21:53:57] "POST /admin/auth/user/2/change/ HTTP/1.1" 302 0
[11/Mar/2022 21:53:57] "GET /admin/auth/user/ HTTP/1.1" 200 7034
[11/Mar/2022 21:53:57] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 21:54:03] "GET /web/ HTTP/1.1" 200 9135
[11/Mar/2022 21:54:03] "GET /opds/thumb/465323/ HTTP/1.1" 200 3165
[11/Mar/2022 21:54:07] "GET /admin/ HTTP/1.1" 302 0
[11/Mar/2022 21:54:07] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1778
[11/Mar/2022 21:54:07] "GET /static/admin/css/base.css HTTP/1.1" 200 16189
[11/Mar/2022 21:54:07] "GET /static/admin/css/login.css HTTP/1.1" 200 1203
[11/Mar/2022 21:54:07] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[11/Mar/2022 21:54:08] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[11/Mar/2022 21:54:08] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[11/Mar/2022 21:54:08] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564
Not Found: /favicon.ico
[11/Mar/2022 21:54:08] "GET /favicon.ico HTTP/1.1" 404 2290
[11/Mar/2022 21:54:14] "POST /admin/login/?next=/admin/ HTTP/1.1" 200 1940
[11/Mar/2022 21:54:24] "GET /admin/auth/user/2/change/ HTTP/1.1" 200 17031
[11/Mar/2022 21:54:24] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 21:54:30] "POST /admin/auth/user/2/change/ HTTP/1.1" 302 0
[11/Mar/2022 21:54:30] "GET /admin/auth/user/ HTTP/1.1" 200 7034
[11/Mar/2022 21:54:31] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 21:54:34] "GET / HTTP/1.1" 302 0
[11/Mar/2022 21:54:34] "GET /web/ HTTP/1.1" 200 9915
[11/Mar/2022 21:54:34] "GET /static/foundation-icons/foundation-icons.woff HTTP/1.1" 200 32020
[11/Mar/2022 21:54:34] "GET /opds/thumb/741597/ HTTP/1.1" 200 2485
[11/Mar/2022 21:54:36] "GET /admin/ HTTP/1.1" 200 5634
[11/Mar/2022 21:54:39] "GET /admin/constance/config/ HTTP/1.1" 200 37848
[11/Mar/2022 21:54:39] "GET /static/admin/css/constance.css HTTP/1.1" 304 0
[11/Mar/2022 21:54:39] "GET /static/admin/js/constance.js HTTP/1.1" 304 0
[11/Mar/2022 21:54:39] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 21:54:44] "POST /admin/constance/config/ HTTP/1.1" 302 0
[11/Mar/2022 21:54:45] "GET /admin/constance/config/ HTTP/1.1" 200 40384
[11/Mar/2022 21:54:45] "GET /admin/jsi18n/ HTTP/1.1" 200 14871
[11/Mar/2022 21:54:47] "GET /admin/ HTTP/1.1" 200 6039
[11/Mar/2022 21:54:52] "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2247
[11/Mar/2022 21:54:54] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1979
[11/Mar/2022 21:55:00] "GET /web/ HTTP/1.1" 200 10214
[11/Mar/2022 21:55:00] "GET /opds/thumb/46919/ HTTP/1.1" 200 2666
[11/Mar/2022 21:55:29] "GET /web/search/books/?csrfmiddlewaretoken=oJ1qwWRrksi2LTROaCq1ByS03wMqWghdpTuUOmcBWCP8fkdszPRwc3X1BiIkTAc2&searchterms=%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%81%D1%82%D0%B0%D0%B5%D1%82%D1%81%D1%8F+%D0%BE%D0%B4%D0%B8%D0%BD&submit=&page=0&searchtype=m HTTP/1.1" 200 12389
----------------------------------------
Exception occurred during processing of request from ('192.168.254.43', 56675)
Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 683, in process_request_thread
    self.finish_request(request, client_address)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 360, in finish_request
    self.RequestHandlerClass(request, client_address, self)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 747, in __init__
    self.handle()
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 171, in handle
    self.handle_one_request()
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 179, in handle_one_request
    self.raw_requestline = self.rfile.readline(65537)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socket.py", line 705, in readinto
    return self._sock.recv_into(b)
ConnectionResetError: [Errno 54] Connection reset by peer
----------------------------------------
[11/Mar/2022 21:55:31] "GET /web/search/books/?csrfmiddlewaretoken=oJ1qwWRrksi2LTROaCq1ByS03wMqWghdpTuUOmcBWCP8fkdszPRwc3X1BiIkTAc2&searchterms=%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%81%D1%82%D0%B0%D0%B5%D1%82%D1%81%D1%8F+%D0%BE%D0%B4%D0%B8%D0%BD&submit=&page=0&searchtype=m HTTP/1.1" 200 13032
[11/Mar/2022 21:55:31] "GET /opds/thumb/139430/ HTTP/1.1" 200 3694
[11/Mar/2022 21:55:31] "GET /opds/thumb/132048/ HTTP/1.1" 200 2797
[11/Mar/2022 21:55:50] "GET /opds/download/132048/0/ HTTP/1.1" 200 1506129
[12/Mar/2022 08:31:23] "GET / HTTP/1.1" 302 0
[12/Mar/2022 08:31:25] "GET /admin/ HTTP/1.1" 200 6039
[12/Mar/2022 08:31:27] "GET /web/ HTTP/1.1" 200 11072
[12/Mar/2022 08:31:28] "GET /static/css/sopds.css HTTP/1.1" 200 73303
[12/Mar/2022 08:31:28] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 200 19508
[12/Mar/2022 08:31:28] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 200 109037
[12/Mar/2022 08:31:28] "GET /static/images/sopds_logo.gif HTTP/1.1" 200 1672
[12/Mar/2022 08:31:28] "GET /static/js/vendor/jquery.js HTTP/1.1" 200 258648
[12/Mar/2022 08:31:28] "GET /static/foundation-icons/foundation-icons.woff HTTP/1.1" 200 32020
[12/Mar/2022 08:31:28] "GET /static/images/favicon.ico HTTP/1.1" 200 932
[12/Mar/2022 08:31:28] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[12/Mar/2022 08:31:28] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[12/Mar/2022 08:31:28] "GET /opds/thumb/598277/ HTTP/1.1" 200 2492
[12/Mar/2022 08:35:30] "GET /web/ HTTP/1.1" 200 10295
[12/Mar/2022 08:35:30] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:30] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:30] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[12/Mar/2022 08:35:30] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:30] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:30] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[12/Mar/2022 08:35:30] "GET /opds/thumb/555568/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:32] "GET /web/ HTTP/1.1" 200 10337
[12/Mar/2022 08:35:32] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:32] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:32] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[12/Mar/2022 08:35:32] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:32] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:32] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[12/Mar/2022 08:35:32] "GET /opds/thumb/94334/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:36] "GET /web/ HTTP/1.1" 200 10930
[12/Mar/2022 08:35:36] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:36] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:36] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[12/Mar/2022 08:35:36] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:36] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:36] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[12/Mar/2022 08:35:36] "GET /opds/thumb/436399/ HTTP/1.1" 200 1998
[12/Mar/2022 08:35:40] "GET /web/ HTTP/1.1" 200 10294
[12/Mar/2022 08:35:40] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:40] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:40] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[12/Mar/2022 08:35:40] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:40] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:40] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[12/Mar/2022 08:35:40] "GET /opds/thumb/668168/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:42] "GET /web/ HTTP/1.1" 200 10284
[12/Mar/2022 08:35:42] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:42] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[12/Mar/2022 08:35:42] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[12/Mar/2022 08:35:42] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:42] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:42] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[12/Mar/2022 08:35:42] "GET /opds/thumb/55835/ HTTP/1.1" 200 2736
[12/Mar/2022 08:35:46] "GET /web/search/books/?searchtype=i&searchterms=55835 HTTP/1.1" 200 11754
[12/Mar/2022 08:35:47] "GET /opds/thumb/412130/ HTTP/1.1" 200 3694
[12/Mar/2022 08:35:53] "GET /web/search/books/?searchtype=i&searchterms=412130 HTTP/1.1" 200 12467
[12/Mar/2022 08:35:53] "GET /opds/thumb/682098/ HTTP/1.1" 200 3157
[12/Mar/2022 08:35:58] "GET /web/search/books/?searchtype=i&searchterms=682098 HTTP/1.1" 200 13650
[12/Mar/2022 08:35:58] "GET /opds/thumb/610306/ HTTP/1.1" 200 2876
[12/Mar/2022 08:36:15] "GET /web/search/books/?searchtype=i&searchterms=610306 HTTP/1.1" 200 14127
[12/Mar/2022 08:36:15] "GET /opds/thumb/614820/ HTTP/1.1" 200 3694
[14/Mar/2022 16:07:25] "GET /web/search/books/?searchtype=i&searchterms=610306 HTTP/1.1" 200 14128
[14/Mar/2022 16:07:25] "GET /static/css/sopds.css HTTP/1.1" 200 73303
[14/Mar/2022 16:07:25] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 200 19508
[14/Mar/2022 16:07:26] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[14/Mar/2022 16:07:26] "GET /static/foundation-icons/foundation-icons.woff HTTP/1.1" 200 32020
[14/Mar/2022 16:07:26] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[14/Mar/2022 16:07:26] "GET /opds/thumb/610306/ HTTP/1.1" 200 2876
[14/Mar/2022 16:07:26] "GET /opds/thumb/485023/ HTTP/1.1" 200 2324
[14/Mar/2022 16:07:26] "GET /static/images/favicon.ico HTTP/1.1" 200 932
[14/Mar/2022 16:07:30] "GET /web/catalog/ HTTP/1.1" 200 17645
[14/Mar/2022 16:07:30] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[14/Mar/2022 16:07:30] "GET /static/images/folder.png HTTP/1.1" 200 7018
[14/Mar/2022 16:07:30] "GET /static/images/text.png HTTP/1.1" 200 16485
[14/Mar/2022 16:07:30] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[14/Mar/2022 16:07:30] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[14/Mar/2022 16:07:31] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[14/Mar/2022 16:07:31] "GET /opds/thumb/423036/ HTTP/1.1" 200 3210
[14/Mar/2022 16:07:31] "GET /static/images/favicon.ico HTTP/1.1" 200 932
[14/Mar/2022 23:33:47] "GET /static/images/favicon.ico HTTP/1.1" 200 932
Performing system checks...

System check identified no issues (0 silenced).
March 22, 2022 - 22:31:22
Django version 2.1.15, using settings 'sopds.settings'
Starting development server at http://0.0.0.0:8001/
Quit the server with CONTROL-C.
[22/Mar/2022 22:31:30] "GET / HTTP/1.1" 302 0
[22/Mar/2022 22:31:32] "GET /web/ HTTP/1.1" 200 10300
[22/Mar/2022 22:31:32] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 200 19508
[22/Mar/2022 22:31:32] "GET /static/css/sopds.css HTTP/1.1" 200 73303
[22/Mar/2022 22:31:32] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 200 109037
[22/Mar/2022 22:31:32] "GET /static/images/sopds_logo.gif HTTP/1.1" 200 1672
[22/Mar/2022 22:31:32] "GET /static/js/vendor/jquery.js HTTP/1.1" 200 258648
[22/Mar/2022 22:31:32] "GET /static/foundation-icons/foundation-icons.woff HTTP/1.1" 200 32020
[22/Mar/2022 22:31:32] "GET /static/images/favicon.ico HTTP/1.1" 200 932
[22/Mar/2022 22:31:32] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[22/Mar/2022 22:31:32] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[22/Mar/2022 22:31:32] "GET /opds/thumb/483379/ HTTP/1.1" 200 3694
[22/Mar/2022 22:31:46] "GET /web/genre/ HTTP/1.1" 200 13348
[22/Mar/2022 22:31:46] "GET /opds/thumb/726769/ HTTP/1.1" 200 3694
[22/Mar/2022 22:31:59] "GET /web/genre/?section=195 HTTP/1.1" 200 14404
[22/Mar/2022 22:31:59] "GET /opds/thumb/495224/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:04] "GET /web/search/books/?searchtype=g&searchterms=213 HTTP/1.1" 200 132559
[22/Mar/2022 22:32:05] "GET /opds/thumb/495096/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/551493/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/473357/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/725742/ HTTP/1.1" 200 2836
[22/Mar/2022 22:32:05] "GET /opds/thumb/462204/ HTTP/1.1" 200 3474
[22/Mar/2022 22:32:05] "GET /opds/thumb/725741/ HTTP/1.1" 200 3155
[22/Mar/2022 22:32:05] "GET /opds/thumb/473356/ HTTP/1.1" 200 3124
[22/Mar/2022 22:32:05] "GET /opds/thumb/609784/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/495095/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/609785/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/725744/ HTTP/1.1" 200 3468
[22/Mar/2022 22:32:05] "GET /opds/thumb/449304/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/495100/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/609786/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/495101/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:05] "GET /opds/thumb/610542/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:06] "GET /opds/thumb/763298/ HTTP/1.1" 200 3182
[22/Mar/2022 22:32:06] "GET /opds/thumb/85931/ HTTP/1.1" 200 3447
[22/Mar/2022 22:32:06] "GET /opds/thumb/88819/ HTTP/1.1" 200 3410
[22/Mar/2022 22:32:06] "GET /opds/thumb/99601/ HTTP/1.1" 200 2235
[22/Mar/2022 22:32:06] "GET /opds/thumb/434319/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:06] "GET /opds/thumb/507664/ HTTP/1.1" 200 3099
[22/Mar/2022 22:32:06] "GET /opds/thumb/504076/ HTTP/1.1" 200 2621
[22/Mar/2022 22:32:06] "GET /opds/thumb/504075/ HTTP/1.1" 200 2621
[22/Mar/2022 22:32:06] "GET /opds/thumb/132610/ HTTP/1.1" 200 1643
[22/Mar/2022 22:32:06] "GET /opds/thumb/759137/ HTTP/1.1" 200 2597
[22/Mar/2022 22:32:06] "GET /opds/thumb/518404/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:06] "GET /opds/thumb/570198/ HTTP/1.1" 200 2943
[22/Mar/2022 22:32:07] "GET /opds/thumb/465035/ HTTP/1.1" 200 2403
[22/Mar/2022 22:32:07] "GET /opds/thumb/101689/ HTTP/1.1" 200 3200
[22/Mar/2022 22:32:07] "GET /opds/thumb/105014/ HTTP/1.1" 200 2909
[22/Mar/2022 22:32:07] "GET /opds/thumb/768860/ HTTP/1.1" 200 2980
[22/Mar/2022 22:32:07] "GET /opds/thumb/35181/ HTTP/1.1" 200 2101
[22/Mar/2022 22:32:07] "GET /opds/thumb/511986/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:07] "GET /opds/thumb/583827/ HTTP/1.1" 200 2700
[22/Mar/2022 22:32:07] "GET /opds/thumb/537848/ HTTP/1.1" 200 2920
[22/Mar/2022 22:32:08] "GET /opds/thumb/670378/ HTTP/1.1" 200 1945
[22/Mar/2022 22:32:08] "GET /opds/thumb/67868/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:08] "GET /opds/thumb/484087/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:08] "GET /opds/thumb/720912/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:08] "GET /opds/thumb/434320/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:08] "GET /opds/thumb/64943/ HTTP/1.1" 200 3203
[22/Mar/2022 22:32:08] "GET /opds/thumb/504905/ HTTP/1.1" 200 3314
[22/Mar/2022 22:32:08] "GET /opds/thumb/587374/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:08] "GET /opds/thumb/41949/ HTTP/1.1" 200 2417
[22/Mar/2022 22:32:08] "GET /opds/thumb/757000/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:08] "GET /opds/thumb/62714/ HTTP/1.1" 200 2920
[22/Mar/2022 22:32:08] "GET /opds/thumb/62717/ HTTP/1.1" 200 3212
[22/Mar/2022 22:32:08] "GET /opds/thumb/62719/ HTTP/1.1" 200 2901
[22/Mar/2022 22:32:08] "GET /opds/thumb/62721/ HTTP/1.1" 200 3052
[22/Mar/2022 22:32:08] "GET /opds/thumb/62716/ HTTP/1.1" 200 2720
[22/Mar/2022 22:32:08] "GET /opds/thumb/62718/ HTTP/1.1" 200 3181
[22/Mar/2022 22:32:09] "GET /opds/thumb/1062/ HTTP/1.1" 200 2691
[22/Mar/2022 22:32:09] "GET /opds/thumb/62949/ HTTP/1.1" 200 2887
[22/Mar/2022 22:32:09] "GET /opds/thumb/484045/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:09] "GET /opds/thumb/532682/ HTTP/1.1" 200 2992
[22/Mar/2022 22:32:09] "GET /opds/thumb/139809/ HTTP/1.1" 200 2400
[22/Mar/2022 22:32:09] "GET /opds/thumb/602784/ HTTP/1.1" 200 2197
[22/Mar/2022 22:32:09] "GET /opds/thumb/480977/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:09] "GET /opds/thumb/149523/ HTTP/1.1" 200 2777
[22/Mar/2022 22:32:33] "GET /web/search/books/?searchtype=g&searchterms=213&page=2 HTTP/1.1" 200 129434
[22/Mar/2022 22:32:33] "GET /opds/thumb/64944/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:34] "GET /opds/thumb/720910/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:34] "GET /opds/thumb/600582/ HTTP/1.1" 200 2608
[22/Mar/2022 22:32:34] "GET /opds/thumb/720911/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:34] "GET /opds/thumb/714401/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:34] "GET /opds/thumb/541949/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:34] "GET /opds/thumb/527366/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:34] "GET /opds/thumb/512119/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:34] "GET /opds/thumb/513850/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:34] "GET /opds/thumb/538011/ HTTP/1.1" 200 2718
[22/Mar/2022 22:32:34] "GET /opds/thumb/464924/ HTTP/1.1" 200 2854
[22/Mar/2022 22:32:34] "GET /opds/thumb/59587/ HTTP/1.1" 200 3119
[22/Mar/2022 22:32:34] "GET /opds/thumb/430396/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:34] "GET /opds/thumb/610013/ HTTP/1.1" 200 2489
[22/Mar/2022 22:32:34] "GET /opds/thumb/543727/ HTTP/1.1" 200 2784
[22/Mar/2022 22:32:34] "GET /opds/thumb/455236/ HTTP/1.1" 200 2018
[22/Mar/2022 22:32:35] "GET /opds/thumb/59584/ HTTP/1.1" 200 2673
[22/Mar/2022 22:32:35] "GET /opds/thumb/616062/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:35] "GET /opds/thumb/755958/ HTTP/1.1" 200 1522
[22/Mar/2022 22:32:35] "GET /opds/thumb/492335/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:35] "GET /opds/thumb/661513/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:35] "GET /opds/thumb/610506/ HTTP/1.1" 200 2780
[22/Mar/2022 22:32:35] "GET /opds/thumb/510339/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:35] "GET /opds/thumb/4431/ HTTP/1.1" 200 3166
[22/Mar/2022 22:32:35] "GET /opds/thumb/4432/ HTTP/1.1" 200 3299
[22/Mar/2022 22:32:35] "GET /opds/thumb/552059/ HTTP/1.1" 200 2669
[22/Mar/2022 22:32:35] "GET /opds/thumb/66468/ HTTP/1.1" 200 3398
[22/Mar/2022 22:32:35] "GET /opds/thumb/71354/ HTTP/1.1" 200 3166
[22/Mar/2022 22:32:35] "GET /opds/thumb/140218/ HTTP/1.1" 200 3497
[22/Mar/2022 22:32:35] "GET /opds/thumb/1707/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:36] "GET /opds/thumb/711945/ HTTP/1.1" 200 2557
[22/Mar/2022 22:32:36] "GET /opds/thumb/449136/ HTTP/1.1" 200 3694
